ab	1	3	aa
北京市	1	3.05	亿
北京市	1	3.05	亿
北京市	1	3.05	亿
北京市	1	3.05	亿
北京市	1
	3.05	亿
石家庄市	5
	3,288.4	万
唐山市	6
	1,417.4	万
秦皇岛市	7
	725.1	万
邯郸市	8
	982.9	万
邢台市	9
	533.8	万
保定市	10
	1,413.4	万
张家口市	11
	587.9	万
承德市	12
	300.4	万
沧州市	13
	836.8	万
廊坊市	14
	1,578.3	万
衡水市	15
	352.6	万
太原市	16
	3,033.7	万
大同市	17
	694.6	万
阳泉市	18
	319.4	万
长治市	19
	477.1	万
晋城市	20
	500.7	万
朔州市	21
	220.3	万
晋中市	22
	610.8	万
运城市	23
	631.1	万
忻州市	24
	203.3	万
临汾市	25
	551.7	万
吕梁市	26
	325.9	万
呼和浩特市	27
	2,014.6	万
包头市	28
	1,142.0	万
乌海市	29
	142.7	万
赤峰市	30
	506.5	万
通辽市	31
	446.0	万
鄂尔多斯市	32
	429.6	万
呼伦贝尔市	33
	388.3	万
巴彦淖尔市	34
	135.4	万
乌兰察布市	35
	255.1	万
兴安盟	36
	189.1	万
锡林郭勒盟	37
	218.8	万
阿拉善盟	38
	72.2	万
沈阳市	39
	5,156.5	万
大连市	40
	4,684.2	万
鞍山市	41
	1,081.6	万
