淮安市	84
	1,293.8	万
盐城市	85
	1,587.4	万
扬州市	86
	1,820.9	万
镇江市	87
	1,480.5	万
泰州市	88
	1,389.9	万
宿迁市	89
	1,147.3	万
杭州市	90
	1.17	亿
宁波市	91
	5,972.8	万
温州市	92
	3,951.8	万
嘉兴市	93
	2,704.9	万
湖州市	94
	1,558.3	万
绍兴市	95
	2,575.2	万
金华市	96
	3,481.2	万
衢州市	97
	699.7	万
舟山市	98
	566.4	万
台州市	99
	2,688.2	万
丽水市	100
	669.0	万
合肥市	101
	5,344.9	万
芜湖市	102
	1,258.6	万
蚌埠市	103
	824.3	万
淮南市	104
	560.5	万
马鞍山市	105
	725.9	万
淮北市	106
	388.5	万
铜陵市	107
	307.6	万
安庆市	108
	571.3	万
黄山市	109
	280.7	万
滁州市	110
	709.0	万
阜阳市	111
	1,231.6	万
宿州市	112
	549.8	万
六安市	114
	637.4	万
亳州市	115
	607.2	万
池州市	116
	223.3	万
宣城市	117
	430.3	万
福州市	118
	4,759.8	万
厦门市	119
	4,319.1	万
莆田市	120
	926.3	万
三明市	121
	378.1	万
泉州市	122
	2,951.1	万
漳州市	123
	959.4	万
南平市	124
	382.4	万
龙岩市	125
	532.4	万
宁德市	126
	676.5	万
南昌市	127
	3,992.8	万
